,puntuacion usuarios,marca
16549,8.2,SONY
16594,8.2,SONY
6182,8.2,SONY
6647,8.2,SONY
6658,8.2,SONY
6681,8.2,SONY
6692,8.2,SONY
1009,8.2,SONY
991,8.2,SONY
7343,8.2,SONY
7264,8.2,SONY
7261,8.2,SONY
7252,8.2,SONY
7249,8.2,SONY
7244,8.2,SONY
15804,8.2,SONY
15806,8.2,SONY
15812,8.2,SONY
15850,8.2,SONY
712,8.2,SONY
15866,8.2,SONY
5841,8.2,SONY
9057,8.2,SONY
5128,8.2,SONY
14329,8.2,SONY
9301,8.2,SONY
9359,8.2,SONY
9365,8.2,SONY
9390,8.2,SONY
13065,8.2,SONY
9443,8.2,SONY
13086,8.2,SONY
13534,8.2,SONY
4711,8.2,SONY
2143,8.2,SONY
13920,8.2,SONY
10304,8.2,SONY
10295,8.2,SONY
13898,8.2,SONY
10265,8.2,SONY
10208,8.2,SONY
10207,8.2,SONY
14325,8.2,SONY
10200,8.2,SONY
4480,8.2,SONY
2483,8.2,SONY
13505,8.2,SONY
13507,8.2,SONY
4432,8.2,SONY
4424,8.2,SONY
13568,8.2,SONY
9302,8.2,SONY
13565,8.2,SONY
10791,8.2,SONY
14277,8.2,SONY
4045,8.2,SONY
10772,8.2,SONY
4027,8.2,SONY
4049,8.2,SONY
9119,8.2,SONY
2769,8.2,SONY
10811,8.2,SONY
13031,8.2,SONY
14278,8.2,SONY
14273,8.2,SONY
14262,8.2,SONY
13042,8.2,SONY
14244,8.2,SONY
14234,8.2,SONY
4828,8.2,SONY
14288,8.2,SONY
10749,8.2,SONY
11035,8.1,SONY
11006,8.1,SONY
6999,8.1,SONY
7000,8.1,SONY
11018,8.1,SONY
6506,8.1,SONY
7086,8.1,SONY
11727,8.1,SONY
6209,8.1,SONY
11690,8.1,SONY
11729,8.1,SONY
5829,8.1,SONY
5864,8.1,SONY
6132,8.1,SONY
4145,8.1,SONY
6513,8.1,SONY
6533,8.1,SONY
5943,8.1,SONY
5925,8.1,SONY
5915,8.1,SONY
4136,8.1,SONY
3504,8.1,SONY
6635,8.1,SONY
6699,8.1,SONY
4154,8.1,SONY
10404,8.1,SONY
10394,8.1,SONY
6512,8.1,SONY
11723,8.1,SONY
6105,8.1,SONY
6127,8.1,SONY
4130,8.1,SONY
4550,8.1,SONY
10002,8.1,SONY
8767,8.1,SONY
11348,8.1,SONY
9477,8.1,SONY
8408,8.1,SONY
8416,8.1,SONY
8513,8.1,SONY
11051,8.1,SONY
10821,8.1,SONY
4883,8.1,SONY
8726,8.1,SONY
11062,8.1,SONY
8749,8.1,SONY
8768,8.1,SONY
8337,8.1,SONY
9123,8.1,SONY
8919,8.1,SONY
8930,8.1,SONY
8956,8.1,SONY
8979,8.1,SONY
11084,8.1,SONY
4937,8.1,SONY
8980,8.1,SONY
4924,8.1,SONY
3826,8.1,SONY
3828,8.1,SONY
8365,8.1,SONY
8327,8.1,SONY
4442,8.1,SONY
11576,8.1,SONY
9951,8.1,SONY
9933,8.1,SONY
9928,8.1,SONY
4536,8.1,SONY
4544,8.1,SONY
5460,8.1,SONY
5441,8.1,SONY
7870,8.1,SONY
5435,8.1,SONY
7886,8.1,SONY
11596,8.1,SONY
7889,8.1,SONY
9518,8.1,SONY
7918,8.1,SONY
11546,8.1,SONY
9664,8.1,SONY
8018,8.1,SONY
9653,8.1,SONY
8027,8.1,SONY
11458,8.1,SONY
9613,8.1,SONY
9562,8.1,SONY
9540,8.1,SONY
