id,nombre,plataforma,marca,puntuacion usuarios
16166,Spider-Man,PlayStation,SONY,8.8
12194,NBA 2K3,Xbox,MICROSOFT,7.9
14929,Serious Sam: The First Encounter,PC,PC,8.4
15502,Donkey Kong Country Returns,Wii,NINTENDO,8.6
16171,Persona 4 Golden,PC,PC,8.8
12212,MLB 12: The Show,PlayStation3,SONY,7.9
16357,Astral Chain,Switch,NINTENDO,8.9
11923,Sonic Advance,GameBoyAdvance,NINTENDO,7.8
16577,Hollow Knight,PC,PC,9.1
4998,Raw Data,PC,PC,6.6
7406,Halo 4,Xbox360,MICROSOFT,7.1
13250,Iconoclasts,PC,PC,8.1
12973,Castlevania: Harmony of Dissonance,GameBoyAdvance,NINTENDO,8.0
5503,Diablo III,Xbox360,MICROSOFT,6.7
8722,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,Xbox360,MICROSOFT,7.4
16416,Thief II: The Metal Age,PC,PC,8.9
10391,Pokemon Black Version,DS,NINTENDO,7.6
16407,Steins;Gate,PC,PC,8.9
12326,Dark Souls II: Scholar of the First Sin,PlayStation4,SONY,7.9
15159,flower,PlayStation3,SONY,8.5
11102,Forza Motorsport 6,XboxOne,MICROSOFT,7.7
10932,Guacamelee! Super Turbo Championship Edition,PlayStation4,SONY,7.7
5005,Call of Duty: Black Ops,Xbox360,MICROSOFT,6.6
16474,Mario Kart 8 DLC Pack 1,WiiU,NINTENDO,8.9
14470,Rallisport Challenge 2,Xbox,MICROSOFT,8.3
16457,Tearaway,PlayStationVita,SONY,8.9
10511,Forza Horizon 3: Blizzard Mountain,XboxOne,MICROSOFT,7.6
14598,Okami HD,XboxOne,MICROSOFT,8.3
16557,Diablo II: Lord of Destruction,PC,PC,9.1
11074,Burnout Paradise,PlayStation3,SONY,7.7
2037,Huntdown,XboxOne,MICROSOFT,5.4
1412,NBA 2K14,Xbox360,MICROSOFT,4.9
16580,Final Fantasy Tactics Advance,GameBoyAdvance,NINTENDO,9.1
13191,3D Out Run,3DS,NINTENDO,8.1
11029,Kohan: Immortal Sovereigns,PC,PC,7.7
2246,Midnight Club 3: DUB Edition Remix,Xbox,MICROSOFT,5.5
13599,Bangai-O,Dreamcast,SEGA,8.1
16581,Devil May Cry 3: Special Edition,PlayStation2,SONY,9.1
13167,Final Fantasy VII Remake,PlayStation4,SONY,8.1
12096,Velocity Ultra,PlayStationVita,SONY,7.9
14683,3D Sonic the Hedgehog 2,3DS,NINTENDO,8.4
11772,Heavy Rain,PlayStation3,SONY,7.8
14388,Titanfall 2,XboxOne,MICROSOFT,8.3
13593,Metal Gear Solid: Portable Ops,PSP,SONY,8.1
11275,Oddworld: Abe's Oddysee - New 'n' Tasty,PC,PC,7.7
15724,Zack & Wiki: Quest for Barbaros' Treasure,Wii,NINTENDO,8.6
15891,Stardew Valley,Switch,NINTENDO,8.7
12112,GRID (2008),PC,PC,7.9
14621,Baldur's Gate: Dark Alliance,PlayStation2,SONY,8.4
9060,Critter Crunch,PlayStation3,SONY,7.4
9986,Rallisport Challenge,Xbox,MICROSOFT,7.6
10422,ESPN NBA Basketball,Xbox,MICROSOFT,7.6
5875,Sid Meier's Civilization VI,PlayStation4,SONY,6.8
13497,Rocket League,XboxOne,MICROSOFT,8.1
9945,Super Street Fighter II Turbo HD Remix,PlayStation3,SONY,7.6
8587,Spelunky,Xbox360,MICROSOFT,7.3
14486,Cuphead,Switch,NINTENDO,8.3
9960,Burnout Paradise: The Ultimate Box,PC,PC,7.6
14708,Dark Souls II: Crown of the Ivory King,PlayStation3,SONY,8.4
16481,Ratchet & Clank Future: A Crack in Time,PlayStation3,SONY,8.9
15543,World Series Baseball 2K3,PlayStation2,SONY,8.6
7892,Pro Evolution Soccer 2016,PlayStation4,SONY,7.2
16170,Psychonauts,PC,PC,8.8
15738,Dark Cloud 2,PlayStation2,SONY,8.6
16025,Animal Crossing: New Leaf,3DS,NINTENDO,8.7
12385,Project Gotham Racing 3,Xbox360,MICROSOFT,7.9
16573,Final Fantasy Tactics: The War of the Lions,PSP,SONY,9.1
7044,Burnout Paradise,Xbox360,MICROSOFT,7.0
16167,Diablo II,PC,PC,8.8
16598,Shenmue II,Dreamcast,SEGA,9.2
359,Call of Duty: Modern Warfare 3,PlayStation3,SONY,3.3
16148,Tactics Ogre: The Knight of Lodis,GameBoyAdvance,NINTENDO,8.8
15815,Super Mario Maker,WiiU,NINTENDO,8.7
16540,Medieval II: Total War,PC,PC,9.0
6992,Keep Talking and Nobody Explodes,PlayStation4,SONY,7.0
7191,Minecraft: Xbox One Edition,XboxOne,MICROSOFT,7.1
11442,The Binding of Isaac: Rebirth,PlayStation4,SONY,7.8
16144,Ratchet & Clank,PlayStation2,SONY,8.8
16516,Crash Team Racing,PlayStation,SONY,9.0
11833,Hyper Light Drifter,Switch,NINTENDO,7.8
6620,Sid Meier's Civilization VI,PC,PC,7.0
6380,Tiger Woods PGA Tour 2003,Xbox,MICROSOFT,6.9
443,Call of Duty: Modern Warfare 3,Xbox360,MICROSOFT,3.5
15761,The Elder Scrolls III: Morrowind Game of the Year Edition,Xbox,MICROSOFT,8.7
16604,Counter-Strike,PC,PC,9.2
15772,The World Ends with You,DS,NINTENDO,8.7
15762,WarioWare: Twisted!,GameBoyAdvance,NINTENDO,8.7
16141,Ori and the Blind Forest: Definitive Edition,PC,PC,8.8
15787,Myth II: Soulblighter,PC,PC,8.7
15972,Medieval: Total War,PC,PC,8.7
15871,The Walking Dead: Episode 5 - No Time Left,PlayStation3,SONY,8.7
16150,Psychonauts,Xbox,MICROSOFT,8.8
6318,NCAA Football 07,Xbox,MICROSOFT,6.9
